161	0,0,0;0
169	0,0,0;0
185	0,0,0;0
50	0,0,0;0
242	0,0,0;0
217	0,0,0;0
22	0,0,0;0
168	0,0,0;0
200	0,0,0;0
158	0,0,0;0
258	0,0,0;0
234	0,0,0;0
42	0,0,0;0
187	0,0,0;0
257	0,0,0;0
4	0,0,0;0
68	0,0,0;0
44	0,0,0;0
97	0,0,0;0
51	0,0,0;0
255	0,0,0;0
230	0,0,0;0
125	0,0,0;0
186	0,0,0;0
236	0,0,0;0
138	0,0,0;0
154	0,0,0;0
1	0,0,0;0
92	0,0,0;0
84	0,0,0;0
249	0,0,0;0
210	0,0,0;0
237	0,0,0;0
148	0,0,0;0
170	0,0,0;0
102	0,0,0;0
162	0,0,0;0
53	0,0,0;0
128	0,0,0;0
111	0,0,0;0
198	0,0,0;0
244	0,0,0;0
239	0,0,0;0
164	0,0,0;0
177	0,0,0;0
43	0,0,0;0
166	0,0,0;0
159	0,0,0;0
56	0,0,0;0
136	0,0,0;0
149	0,0,0;0
248	0,0,0;0
153	122,0,139;1
271	122,0,139;1
104	122,0,139;1
63	122,0,139;1
182	122,0,139;1
115	122,0,139;1
263	122,0,139;1
14	122,0,139;1
209	122,0,139;1
232	122,0,139;1
134	122,0,139;1
195	122,0,139;1
12	122,0,139;1
172	122,0,139;1
233	122,0,139;1
10	122,0,139;1
163	122,0,139;1
183	122,0,139;1
73	122,0,139;1
174	122,0,139;1
246	122,0,139;1
49	122,0,139;1
199	122,0,139;1
117	122,0,139;1
273	122,0,139;1
222	88,0,159;2
71	88,0,159;2
194	88,0,159;2
173	88,0,159;2
243	88,0,159;2
118	88,0,159;2
213	88,0,159;2
119	88,0,159;2
228	88,0,159;2
30	88,0,159;2
176	88,0,159;2
216	88,0,159;2
120	88,0,159;2
220	88,0,159;2
25	88,0,159;2
69	88,0,159;2
76	88,0,159;2
190	88,0,159;2
46	88,0,159;2
227	88,0,159;2
225	88,0,159;2
77	88,0,159;2
94	88,0,159;2
224	88,0,159;2
266	88,0,159;2
140	88,0,159;2
52	88,0,159;2
61	88,0,159;2
267	88,0,159;2
211	88,0,159;2
143	88,0,159;2
144	88,0,159;2
24	88,0,159;2
260	88,0,159;2
218	88,0,159;2
261	88,0,159;2
57	88,0,159;2
109	88,0,159;2
180	88,0,159;2
223	88,0,159;2
247	88,0,159;2
184	88,0,159;2
20	88,0,159;2
79	88,0,159;2
74	88,0,159;2
152	88,0,159;2
2	88,0,159;2
231	88,0,159;2
202	0,0,197;3
21	0,0,197;3
124	0,0,197;3
114	0,0,197;3
205	0,0,197;3
9	0,0,197;3
197	0,0,197;3
142	0,0,197;3
147	0,0,197;3
32	0,0,197;3
18	0,0,197;3
268	0,0,197;3
179	0,0,197;3
160	0,0,197;3
212	0,0,197;3
88	0,0,197;3
41	0,0,197;3
47	0,0,197;3
123	0,0,197;3
196	0,0,197;3
221	0,0,197;3
5	0,0,197;3
11	0,0,197;3
93	0,0,197;3
207	0,0,197;3
7	0,0,197;3
78	0,0,197;3
181	0,0,197;3
16	0,0,197;3
167	0,0,197;3
70	0,0,197;3
253	0,0,197;3
272	0,0,197;3
206	0,0,197;3
28	0,0,197;3
240	0,0,197;3
130	0,0,197;3
59	0,0,197;3
141	0,0,197;3
106	0,0,197;3
274	0,0,197;3
40	0,0,197;3
133	0,0,197;3
241	0,0,197;3
100	0,0,197;3
35	0,0,197;3
189	0,0,197;3
135	0,0,197;3
81	0,0,197;3
193	0,0,197;3
101	0,0,197;3
34	0,0,197;3
132	0,0,197;3
26	0,84,221;4
67	0,84,221;4
269	0,84,221;4
3	0,84,221;4
85	0,84,221;4
112	0,84,221;4
122	0,84,221;4
238	0,84,221;4
48	0,84,221;4
75	0,84,221;4
151	0,84,221;4
54	0,84,221;4
137	0,84,221;4
157	0,84,221;4
91	0,84,221;4
38	0,84,221;4
264	0,84,221;4
39	0,84,221;4
86	0,84,221;4
36	0,84,221;4
45	0,84,221;4
82	0,84,221;4
89	0,84,221;4
99	0,84,221;4
27	0,84,221;4
83	0,84,221;4
55	0,84,221;4
37	0,84,221;4
145	0,84,221;4
201	0,84,221;4
245	0,84,221;4
259	0,84,221;4
15	0,84,221;4
265	0,84,221;4
139	0,84,221;4
103	0,84,221;4
256	0,84,221;4
178	0,84,221;4
191	0,84,221;4
235	0,84,221;4
62	0,84,221;4
113	0,84,221;4
204	0,84,221;4
219	0,84,221;4
58	0,84,221;4
60	0,84,221;4
121	0,84,221;4
107	0,149,221;5
250	0,149,221;5
127	0,149,221;5
226	0,149,221;5
29	0,149,221;5
192	0,149,221;5
31	0,149,221;5
131	0,149,221;5
87	0,149,221;5
165	0,149,221;5
98	0,149,221;5
203	0,149,221;5
19	0,149,221;5
108	0,149,221;5
150	0,149,221;5
270	0,149,221;5
17	0,149,221;5
33	0,149,221;5
80	0,149,221;5
126	0,149,221;5
105	0,149,221;5
155	0,149,221;5
0	0,149,221;5
64	0,149,221;5
208	0,149,221;5
65	0,149,221;5
214	0,149,221;5
252	0,149,221;5
13	0,149,221;5
129	0,149,221;5
215	0,149,221;5
72	0,149,221;5
146	0,149,221;5
251	0,149,221;5
95	0,149,221;5
116	0,149,221;5
90	0,149,221;5
156	0,149,221;5
254	0,149,221;5
96	0,149,221;5
229	0,149,221;5
262	0,149,221;5
175	0,149,221;5
188	0,149,221;5
6	0,149,221;5
23	0,149,221;5
171	0,149,221;5
8	0,149,221;5
66	0,149,221;5
110	0,149,221;5
